Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-openhie.fhir.rwanda.hiv.json	35117	-	0	0	0	0	0	0	9	191	0	0	0	0	0	0	0	2	0	0	238	207	0	0	1	6	0	1
fsh-generated/resources/Observation-HIVTestResultExample.json	1356	16	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	15	19	0	0	0	0	0	0
fsh-generated/resources/Observation-ARVAdherenceExample.json	932	5	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	10	9	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-hiv-arv-adherence.json	2979	17	0	0	1	0	0	352	0	359	0	0	0	0	0	0	0	2	0	0	478	5229	0	0	0	11	0	2
fsh-generated/resources/ValueSet-vs-reason-sample-cancelled-or-rejected.json	1321	9	1	0	0	0	0	0	0	298	0	0	0	0	0	0	0	0	0	0	12	10438	0	0	0	1	0	0
fsh-generated/resources/Bundle-LabCancellation.json	2231	13	0	0	0	0	0	0	1	19	0	0	0	0	0	0	0	0	0	0	14	34	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-receive-sms-messages.json	1859	12	0	0	0	0	0	358	0	226	0	0	0	0	0	0	0	2	0	0	356	2337	0	0	0	9	0	2
fsh-generated/resources/ValueSet-vs-specimen-type.json	1169	6	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	12	163	0	0	0	0	0	0
fsh-generated/resources/ValueSet-vs-arvtreatment-activity-type.json	591	3	1	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	7	166	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-hiv-organization.json	2911	14	0	0	0	0	0	214	0	247	0	0	1	0	0	0	0	1	0	0	289	1221	0	0	0	7	0	0
fsh-generated/resources/CarePlan-ARVTreatmentInitiatedExample.json	1204	8	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	9	6	0	0	0	0	0	0
