Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-openhie.fhir.rwanda.hiv.json	40204	-	1	0	0	0	0	0	8	388	0	0	0	0	0	0	0	1	0	0	232	234	0	0	0	6	1	1
fsh-generated/resources/StructureDefinition-hiv-lab-task-activity.json	4480	182	0	0	0	1	0	1525	0	1538	0	0	1	0	0	0	0	2	0	0	322	4882	0	0	0	9	0	0
fsh-generated/resources/Observation-HIVTestResultExample.json	1356	8	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	12	14	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-clinician-user-index.json	1659	50	0	0	0	0	0	133	0	132	0	0	0	0	0	0	0	0	0	0	22	173	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-hiv-diagnostic-report.json	4073	174	0	0	0	0	0	931	0	908	0	0	0	0	0	0	0	1	0	0	199	1003	0	0	0	6	0	1
fsh-generated/resources/Bundle-VLSMS-VL-Request-Transactional.json	51985	127	0	0	0	0	0	0	4	667	0	0	0	0	0	0	0	1	0	0	253	148	0	0	0	0	0	1
fsh-generated/resources/Observation-HIVTestResultAbsoluteDecimalExample.json	1085	4	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	11	7	0	0	0	0	0	0
fsh-generated/resources/Consent-DoNotReceiveSMSMessagesExample.json	566	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	6	6	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-performing-organization.json	4706	189	0	0	0	0	0	1235	0	1301	0	0	0	0	0	0	0	1	0	0	266	1249	0	0	0	8	0	0
fsh-generated/resources/Transport-ResultDispatchedToRequestingFacilityExample.json	685	3	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	7	6	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-hiv-practitioner.json	2521	74	0	0	0	0	0	872	0	903	0	0	0	0	0	0	0	1	0	0	197	870	0	0	0	5	0	1
fsh-generated/resources/CodeSystem-cs-reason-for-assessment.json	1464	5	0	0	0	0	0	0	0	8	0	0	1	0	0	0	0	0	0	0	9	1949	0	0	0	1	0	0
fsh-generated/resources/Location-TransportRequestedLocationExample.json	259	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	4	0	0	0	0	0	0
