Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-openhie.fhir.rwanda.hiv.json	38268	-	0	0	0	0	0	0	9	787	0	0	0	0	0	0	0	1	0	0	298	475	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-hiv-lab-task-activity.json	4480	363	1	0	0	0	0	3021	0	3276	0	0	1	0	0	0	0	2	0	0	452	5024	0	0	0	10	1	1
fsh-generated/resources/Observation-HIVTestResultExample.json	1356	11	0	0	0	0	0	0	0	135	0	0	0	0	0	0	0	0	0	0	14	21	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-clinician-user-index.json	1659	103	0	0	0	0	0	271	0	293	0	0	0	0	0	0	0	0	0	0	49	227	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-hiv-diagnostic-report.json	4073	360	0	0	0	0	0	1803	0	1897	0	0	0	0	0	0	0	1	0	0	307	1305	0	0	1	6	0	2
fsh-generated/resources/Observation-HIVTestResultAbsoluteDecimalExample.json	1085	6	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	10	8	0	0	0	0	0	0
fsh-generated/resources/Consent-DoNotReceiveSMSMessagesExample.json	566	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	7	5	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-performing-organization.json	4706	397	1	0	0	0	0	2494	0	2568	0	0	0	0	0	0	0	1	0	0	403	2027	0	0	0	7	0	0
fsh-generated/resources/Transport-ResultDispatchedToRequestingFacilityExample.json	685	6	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	8	6	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-hiv-practitioner.json	2521	195	0	0	0	0	0	1761	0	1815	0	0	1	0	0	0	0	0	0	0	279	1165	0	0	0	5	0	1
