Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-openhie.fhir.rwanda.hiv.json	37822	-	0	0	0	0	0	0	6	418	0	0	0	0	0	0	0	1	0	0	216	279	0	0	0	5	0	1
fsh-generated/resources/Observation-HIVTestResultExample.json	1356	10	1	0	0	0	0	0	0	104	0	0	0	0	0	0	0	1	0	0	11	13	0	0	0	0	0	0
fsh-generated/resources/Observation-ARVAdherenceExample.json	932	4	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	11	6	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-hiv-arv-adherence.json	3019	99	0	0	0	0	0	1196	0	1379	0	0	0	0	0	0	0	1	0	0	390	3780	0	0	0	8	0	0
fsh-generated/resources/ValueSet-vs-reason-sample-cancelled-or-rejected.json	1324	7	0	0	0	0	0	0	0	423	0	0	0	0	0	0	0	0	0	0	10	6702	0	0	0	1	0	0
fsh-generated/resources/Bundle-LabCancellation.json	2231	9	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	11	19	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-receive-sms-messages.json	1891	50	0	1	0	0	0	1316	0	1208	0	0	0	0	0	0	0	1	0	0	276	1201	0	0	0	5	0	1
fsh-generated/resources/ValueSet-vs-specimen-type.json	1169	3	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	9	87	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-hiv-organization.json	2911	104	0	0	0	0	0	860	0	921	0	0	1	0	0	0	0	1	0	0	241	813	0	0	0	5	0	1
fsh-generated/resources/CarePlan-ARVTreatmentInitiatedExample.json	1204	5	0	0	0	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	8	5	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-result-status-index.json	1529	77	0	0	0	0	0	136	0	133	0	0	0	0	0	0	0	1	0	0	42	167	0	0	0	1	0	0
fsh-generated/resources/ValueSet-vs-vl-suppression.json	739	3	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	6	88	0	0	0	0	0	0
fsh-generated/resources/Observation-SuspendTreatmentHIVTestResultExample.json	989	4	1	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	8	16	0	0	0	0	0	0
