Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-openhie.fhir.rwanda.hiv.json	38268	-	0	0	0	0	0	0	7	899	0	0	1	0	0	0	0	2	0	0	383	585	0	0	0	8	0	2
fsh-generated/resources/StructureDefinition-hiv-lab-task-activity.json	4480	463	0	0	0	0	0	3485	0	3576	0	0	3	0	0	0	0	5	0	0	563	6124	0	0	0	11	0	0
fsh-generated/resources/Observation-HIVTestResultExample.json	1356	12	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	15	21	0	0	0	0	0	1
fsh-generated/resources/StructureDefinition-clinician-user-index.json	1659	118	0	0	0	0	0	357	0	316	0	0	0	0	0	0	0	0	0	0	65	390	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-hiv-diagnostic-report.json	4073	474	0	0	0	0	0	1980	0	2057	0	0	0	0	0	0	0	1	0	0	329	1800	0	0	0	6	0	1
fsh-generated/resources/Observation-HIVTestResultAbsoluteDecimalExample.json	1085	7	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	12	10	0	0	0	0	0	0
fsh-generated/resources/Consent-DoNotReceiveSMSMessagesExample.json	566	5	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	7	7	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-performing-organization.json	4706	420	0	0	0	0	0	2901	0	2750	0	0	1	0	0	0	0	0	0	0	407	2545	0	0	0	8	0	1
fsh-generated/resources/Transport-ResultDispatchedToRequestingFacilityExample.json	685	7	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	9	7	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-hiv-practitioner.json	2521	163	0	0	0	0	0	2002	0	1999	0	0	1	0	0	0	0	1	0	0	290	1390	0	0	0	5	1	0
fsh-generated/resources/CodeSystem-cs-reason-for-assessment.json	1464	8	0	0	0	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0	15	2636	0	0	0	1	0	0
fsh-generated/resources/Location-TransportRequestedLocationExample.json	259	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-task-reviewed-by-user-index.json	1658	125	0	0	0	0	0	302	0	307	0	0	0	0	0	0	0	0	0	0	49	217	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-viral-load-test-result-absolute-decimal.json	3800	394	1	0	0	0	0	3185	0	3194	0	0	0	0	0	0	0	1	0	0	591	3475	0	0	0	10	0	1
fsh-generated/resources/StructureDefinition-hiv-lab-task.json	6272	674	0	0	0	0	0	4415	0	4297	0	0	1	0	0	0	0	0	0	0	727	2776	0	0	0	20	0	1
fsh-generated/resources/StructureDefinition-hiv-patient-pregnant.json	3757	294	0	0	0	0	0	2723	0	2724	0	0	0	0	0	0	0	1	0	0	476	2784	0	1	0	12	0	0
fsh-generated/resources/StructureDefinition-patient-age-months.json	1566	107	0	0	0	0	0	312	0	285	0	0	0	0	0	0	0	0	0	0	53	194	0	0	0	1	0	1
fsh-generated/resources/Location-TransportCurrentLocationExample.json	255	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0
fsh-generated/resources/Task-HIVLabOrderRejectionTaskExample.json	1594	11	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	13	9	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-funding-source-index.json	1579	106	0	0	0	0	0	330	0	264	0	0	0	0	0	0	0	0	0	0	50	206	0	0	0	2	0	0
fsh-generated/resources/Observation-SuspendTreatmentHIVTestResultExample.json	989	7	1	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	10	7	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-implementing-partner-index.json	1661	106	0	0	0	0	0	318	0	274	0	0	0	0	0	0	0	0	0	0	51	202	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-reason-for-hiv-testing.json	3664	342	0	0	0	0	0	2997	0	2927	0	0	0	0	0	0	0	0	0	0	532	2116	0	0	0	11	0	1
fsh-generated/resources/ServiceRequest-HIVServiceRequestExample.json	1716	13	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	1	0	0	14	13	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-sample-dispatched-to-lab.json	1518	118	0	0	0	0	0	2272	0	2281	0	0	0	0	0	0	0	0	0	0	316	1821	0	0	0	6	0	9
fsh-generated/resources/StructureDefinition-transport-location.json	1226	58	0	0	0	0	0	1303	0	1223	0	0	0	0	0	0	0	0	0	0	194	870	0	0	0	4	1	0
fsh-generated/resources/CodeSystem-cs-reason-sample-cancelled-or-rejected.json	4047	31	1	0	0	0	0	0	1	21	0	0	0	0	0	0	0	0	0	0	38	50	0	0	0	1	0	0
fsh-generated/resources/Specimen-VLSpecimenExample.json	2136	13	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	16	11	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-viral-load-specimen.json	8073	1016	29	0	0	0	0	5358	0	4979	0	0	1	0	0	0	0	1	0	0	816	2545	0	0	0	15	0	1
fsh-generated/resources/StructureDefinition-arv-regimen-medication-request.json	2054	175	0	0	0	0	0	2893	0	2618	0	0	0	0	0	0	0	1	0	0	381	2058	0	0	0	8	0	0
fsh-generated/resources/StructureDefinition-sample-reordered.json	1562	101	0	0	0	0	0	296	0	256	0	0	0	0	0	0	0	0	0	0	46	167	0	0	0	1	0	0
fsh-generated/resources/Practitioner-PerformingPractitionerExample.json	527	7	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	5	7	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-hiv-arv-adherence.json	3019	222	1	0	0	0	0	2750	0	2777	0	0	0	0	0	0	0	0	0	0	501	1689	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-art-regimen-switched-or-substituted.json	3461	269	0	0	0	0	0	2873	0	2842	0	0	0	0	0	0	0	4	0	0	517	1963	0	0	0	9	0	1
fsh-generated/resources/ValueSet-vs-test-types.json	708	35	0	0	0	0	0	0	0	477	0	0	0	0	0	0	0	0	1	0	9	8821	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-hiv-arv-treatment.json	3454	374	0	0	0	0	0	2424	0	2323	0	0	0	0	0	0	0	1	0	0	383	1705	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-receive-sms-messages.json	1891	98	0	0	0	0	0	2476	0	2570	0	0	0	0	0	0	0	0	0	0	355	1270	0	0	0	7	0	1
fsh-generated/resources/ValueSet-vs-arv-regimen.json	2584	19	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	1	0	0	19	159	0	0	0	0	0	0
fsh-generated/resources/ValueSet-vs-patient-consent-for-sms-notifications.json	778	4	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	9	128	0	0	0	1	0	0
fsh-generated/resources/Bundle-VLSMSVLRequest.json	51969	264	1	0	0	0	0	0	3	650	0	0	0	0	0	0	0	0	0	0	392	401	0	0	0	0	0	0
fsh-generated/resources/Task-HIVLabResultTaskExample.json	1847	15	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	17	12	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-performing-organization-province-index.json	1692	116	0	0	0	0	0	344	0	335	0	0	1	0	0	0	0	0	0	0	56	180	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-specimen-preservation.json	2950	263	0	0	0	0	0	3213	0	3211	0	0	0	0	0	0	0	1	0	0	480	1486	0	0	0	7	1	1
